City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
174,saint-joseph,-21.3667,55.6167,73.78,80,16,6.55,RE,1675303539
175,ouesso,1.6136,16.0517,73.81,74,92,2.42,CG,1675303540
176,batagay,67.6333,134.6333,-27.24,97,99,0.67,RU,1675303479
177,valdivia,-39.8142,-73.2459,59.09,64,4,3.65,CL,1675303540
178,andra,62.5147,65.8878,4.53,99,70,4.43,RU,1675303541
179,tessalit,20.1986,1.0114,63.64,14,87,7.67,ML,1675303541
180,freeport,40.6576,-73.5832,34.02,45,0,12.66,US,1675303399
181,dikson,73.5069,80.5464,-5.1,93,97,8.05,RU,1675303541
182,maragogi,-9.0122,-35.2225,77.77,80,15,4.83,BR,1675303542
183,taywarah,33.35,64.4167,23.79,95,93,5.03,AF,1675303542
184,alihe,50.5667,123.7167,0.25,74,8,3.71,CN,1675303542
185,coquimbo,-29.9533,-71.3436,64.13,82,0,2.3,CL,1675303336
186,sitka,57.0531,-135.33,42.69,70,100,6.91,US,1675303543
187,baracoa,20.3467,-74.4958,75.9,81,54,13.8,CU,1675303543
188,saint-francois,46.4154,3.9054,40.44,75,0,2.3,FR,1675303407
189,vanatori,45.7333,27.25,28.11,88,100,3.09,RO,1675303544
190,saint-paul,-21.0096,55.2707,75.31,79,27,2.86,RE,1675303544
191,zhangjiakou,40.81,114.8794,18.3,24,100,1.34,CN,1675303544
192,cherskiy,68.75,161.3,-5.13,98,98,3.6,RU,1675303545
193,ostrovnoy,68.0531,39.5131,16.9,92,49,20.47,RU,1675303545
194,kyra,49.5776,111.9753,0.66,78,23,3.06,RU,1675303545
195,tshikapa,-6.4167,20.8,69.17,89,97,1.88,CD,1675303545
196,lubango,-14.9172,13.4925,58.55,91,100,1.21,AO,1675303546
197,xining,36.6167,101.7667,23.58,43,46,1.14,CN,1675303546
198,capaci,38.1711,13.2393,53.2,74,40,9.22,IT,1675303546
199,kendari,-3.945,122.4989,84.83,71,100,3.11,ID,1675303547
200,kaitangata,-46.2817,169.8464,72.09,70,80,4.88,NZ,1675303261
201,matara,5.9485,80.5353,75.34,82,100,3.56,LK,1675303547
202,nadym,65.5333,72.5167,8.13,96,36,9.8,RU,1675303548
203,tabou,4.423,-7.3528,79.02,88,5,6.11,CI,1675303548
204,hendek,40.7994,30.7481,32.68,88,99,6.78,TR,1675303548
205,laguna,38.421,-121.4238,52.09,59,75,3.44,US,1675303549
206,ponta delgada,37.7333,-25.6667,52.52,76,20,6.91,PT,1675303378
207,yurgamysh,55.3714,64.4656,-1.32,96,86,5.12,RU,1675303549
208,bonthe,7.5264,-12.505,76.68,87,0,2.93,SL,1675303398
209,arrecife,28.963,-13.5477,64.38,63,20,18.41,ES,1675303550
210,mehamn,71.0357,27.8492,28.31,93,100,4.61,NO,1675303550
211,ahipara,-35.1667,173.1667,75.45,66,100,7.87,NZ,1675303550
212,imuris,30.7833,-110.8667,50.68,62,28,6.6,MX,1675303551
213,torbay,47.6666,-52.7314,9.27,81,0,5.75,CA,1675303551
214,bayji,34.9311,43.487,50.41,73,67,12.71,IQ,1675303551
215,solnechnyy,50.7214,136.6319,-3.35,91,87,2.33,RU,1675303552
216,talnakh,69.4865,88.3972,7.21,96,100,8.32,RU,1675303552
217,cayenne,4.9333,-52.3333,73.44,100,100,0.0,GF,1675303552
218,peace river,56.2501,-117.286,-7.29,64,75,3.44,CA,1675303531
219,karratha,-20.7377,116.8463,90.99,52,37,8.97,AU,1675303553
220,broken hill,-31.95,141.4333,72.72,41,2,16.73,AU,1675303427
221,dawei,14.0833,98.2,79.56,44,57,1.5,MM,1675303553
222,faanui,-16.4833,-151.75,82.13,74,62,17.98,PF,1675303554
223,saint pete beach,27.7253,-82.7412,72.25,85,40,4.61,US,1675303554
224,deer lake,49.1667,-57.4316,-4.14,84,40,0.0,CA,1675303554
225,yar,58.249,52.1026,1.42,96,100,4.56,RU,1675303555
226,vila,42.0304,-8.1588,34.68,86,0,4.16,PT,1675303555
227,moose factory,51.2585,-80.6094,-13.0,77,100,4.61,CA,1675303556
228,dzilam gonzalez,21.2833,-88.9333,73.45,79,2,5.55,MX,1675303556
229,baruun-urt,46.6806,113.2792,-2.13,86,4,7.43,MN,1675303556
230,praia da vitoria,38.7333,-27.0667,54.75,100,20,2.86,PT,1675303558
231,galle,6.0367,80.217,76.06,83,99,9.73,LK,1675303558
232,ayabe,35.3,135.25,36.48,65,100,11.32,JP,1675303558
233,sur,22.5667,59.5289,65.05,72,3,5.32,OM,1675303559
